Product Name,Category,Location,MRP,Blinkit Price,Zepto Price,Instamart Price,Discount (%),Margin (%),Festive/Seasonal Impact,Delivery Distance (km),Shelf Life (days),Min Stock,Max Stock,Final Price,Customer Sentiment,Weight (g/ml),Weight Unit,Order Year,Order Month,Order Day,Order Hour,Order Time Category
Wheat (),Grocery,Baner,80,69.09,68.88,68.8,13,27,Monsoon,1.3,188,11,35,68.92,Negative,1000.0,g,2024,3,25,21,Night
Tea (),Grocery,Wakad,150,142.62,142.93,142.9,5,23,Diwali,1.9,251,10,51,142.82,Neutral,250.0,g,2024,9,28,3,Night
Bananas (),Fruits,Kothrud,61,54.94,56.04,54.71,9,22,Summer,1.4,11,12,199,55.23,Negative,1.0,dozen,2024,6,27,10,Morning
Oranges (),Fruits,Baner,87,81.01,81.57,81.15,7,21,Holi,3.3,8,12,182,81.24,Neutral,1000.0,g,2024,3,29,12,Afternoon
Tomatoes (),Vegetables,Baner,47,42.09,41.12,41.27,12,21,Winter,1.7,6,27,193,41.49,Negative,1000.0,g,2024,1,28,17,Evening
Atta (),Grocery,Wakad,70,60.93,61.36,62.58,12,30,Monsoon,3.8,355,30,45,61.62,Positive,1000.0,g,2024,3,29,22,Night
Saffola Oil (),Grocery,Kothrud,176,152.25,153.95,153.25,13,20,Holi,1.9,281,39,76,153.15,Negative,1.0,l,2024,4,12,20,Evening
Dal (),Grocery,Aundh,90,78.79,78.16,78.47,13,21,Monsoon,1.9,310,41,65,78.47,Positive,500.0,g,2024,10,20,12,Afternoon
Saffola Oil (),Grocery,Baner,176,158.98,158.24,157.53,10,22,Exam Season,3.4,315,26,168,158.25,Negative,1.0,l,2024,11,30,7,Morning
Sugar (),Grocery,Baner,58,51.0,50.14,50.05,13,15,Monsoon,2.8,364,26,155,50.4,Neutral,1000.0,g,2024,10,22,22,Night
Atta (),Grocery,Wakad,70,60.88,60.22,59.6,14,21,,4.1,315,10,164,60.23,Neutral,1000.0,g,2024,5,5,21,Night
Govardhan Paneer (),Dairy,Baner,109,92.32,92.22,91.18,16,11,,2.0,6,15,140,91.91,Neutral,200.0,g,2024,11,12,21,Night
Rice (),Grocery,Wakad,100,90.26,90.95,91.1,9,18,Winter,3.1,288,23,162,90.77,Neutral,1000.0,g,2024,10,20,7,Morning
Salt (),Grocery,Kothrud,20,16.68,16.84,16.04,16,17,Holi,1.3,330,45,104,16.52,Positive,500.0,g,2024,8,16,12,Afternoon
Tea (),Grocery,Baner,150,140.46,141.81,141.72,6,12,,3.1,351,41,96,141.33,Negative,250.0,g,2024,7,28,10,Morning
Dal (),Grocery,Wakad,90,71.49,71.95,71.81,20,13,Diwali,1.4,270,37,143,71.75,Negative,500.0,g,2024,6,30,8,Morning
Saffola Oil (),Grocery,Baner,176,146.54,146.68,145.3,17,16,,1.8,215,37,84,146.17,Negative,1.0,l,2024,4,18,4,Night
Bingo Mad Angles,Snacks,Aundh,20,18.49,19.32,18.7,7,11,Winter,3.6,33,15,76,18.84,Neutral,,Unknown,2024,3,5,14,Afternoon
Bananas (),Fruits,Viman Nagar,61,55.02,55.09,53.62,11,10,Holi,4.9,14,28,137,54.58,Negative,1.0,dozen,2024,9,27,12,Afternoon
Oranges (),Fruits,Viman Nagar,87,77.02,78.37,77.59,11,27,Exam Season,1.2,7,13,163,77.66,Negative,1000.0,g,2024,7,4,3,Night
Oreo Biscuit,Biscuits,Wakad,99,93.98,92.22,92.43,6,29,Exam Season,1.3,111,17,163,92.88,Positive,,Unknown,2024,4,5,14,Afternoon
Saffola Oil (),Grocery,Wakad,176,144.63,144.45,143.95,18,18,,1.8,260,25,93,144.34,Neutral,1.0,l,2024,6,2,16,Afternoon
Dal (),Grocery,Kothrud,90,77.36,77.37,75.52,15,29,Holi,5.0,198,44,99,76.75,Positive,500.0,g,2024,7,15,11,Morning
